repeat,fold,device,raw_best_epoch,raw_epochs_run,raw_validation_macro_auc,fusion_best_epoch,fusion_epochs_run,fusion_validation_macro_auc
0,0,cpu,20,20,0.7175925925925926,11,21,0.7824074074074074
0,1,cpu,20,20,0.7416666666666667,21,31,0.75
0,2,cpu,15,20,0.6041666666666666,7,17,0.6587962962962962
0,3,cpu,6,11,0.6535016835016835,27,37,0.7955106621773288
0,4,cpu,17,20,0.6509315375982042,5,15,0.6899438832772167
1,0,cpu,2,7,0.6518518518518519,5,15,0.7981481481481482
1,1,cpu,17,20,0.7681818181818182,5,15,0.8352272727272728
1,2,cpu,20,20,0.6944444444444443,9,19,0.6916666666666665
1,3,cpu,19,20,0.8331088664421998,9,19,0.6537149270482604
1,4,cpu,15,20,0.7457800224466892,14,24,0.6857351290684623
2,0,cpu,19,20,0.6814814814814816,34,44,0.7592592592592592
2,1,cpu,14,19,0.701388888888889,3,13,0.6041666666666666
2,2,cpu,1,6,0.7072390572390571,17,27,0.5045454545454545
2,3,cpu,1,6,0.692368125701459,15,25,0.7328619528619528
2,4,cpu,1,6,0.5198092031425365,52,62,0.7172166105499439
3,0,cpu,15,20,0.7777777777777778,32,42,0.6407407407407407
3,1,cpu,5,10,0.6880471380471381,53,63,0.8013047138047137
3,2,cpu,4,9,0.7673400673400673,32,42,0.8873737373737374
3,3,cpu,17,20,0.7791021324354658,12,22,0.6974410774410774
3,4,cpu,3,8,0.7059820426487092,47,57,0.8610325476992143
4,0,cpu,20,20,0.700925925925926,23,33,0.7342592592592592
4,1,cpu,2,7,0.6152777777777778,36,46,0.8680555555555555
4,2,cpu,13,18,0.7430555555555555,9,19,0.713888888888889
4,3,cpu,20,20,0.6408978675645343,8,18,0.7675084175084176
4,4,cpu,1,6,0.7163411896745231,1,11,0.7227609427609428
5,0,cpu,13,18,0.7138888888888889,4,14,0.6481481481481481
5,1,cpu,3,8,0.62243265993266,6,16,0.7556397306397306
5,2,cpu,1,6,0.6638888888888889,31,41,0.7236111111111111
5,3,cpu,12,17,0.4946801346801348,44,54,0.6503591470258138
5,4,cpu,18,20,0.7119640852974186,7,17,0.7990796857463525
6,0,cpu,9,14,0.6851851851851851,7,17,0.6046296296296297
6,1,cpu,3,8,0.7333333333333334,17,27,0.7027777777777778
6,2,cpu,2,7,0.6208333333333333,30,40,0.7722222222222221
6,3,cpu,1,6,0.5562065095398429,3,13,0.6650280583613917
6,4,cpu,6,11,0.6097530864197531,4,14,0.6928170594837262
7,0,cpu,19,20,0.7592592592592592,3,13,0.8296296296296296
7,1,cpu,10,15,0.6910353535353536,36,46,0.818560606060606
7,2,cpu,20,20,0.7152777777777778,1,11,0.8472222222222223
7,3,cpu,11,16,0.5916498316498316,1,11,0.7345230078563413
7,4,cpu,1,6,0.5815712682379349,38,48,0.6025589225589226
8,0,cpu,18,20,0.7055555555555556,12,22,0.7296296296296297
8,1,cpu,7,12,0.8291666666666666,17,27,0.8041666666666667
8,2,cpu,20,20,0.42500000000000004,44,54,0.6680555555555555
8,3,cpu,1,6,0.617037037037037,28,38,0.7102020202020203
8,4,cpu,1,6,0.7855780022446689,1,11,0.5570594837261504
9,0,cpu,20,20,0.5861111111111111,16,26,0.6194444444444444
9,1,cpu,11,16,0.5527777777777777,9,19,0.5694444444444444
9,2,cpu,3,8,0.49583333333333335,29,39,0.6694444444444444
9,3,cpu,17,20,0.7271829405162739,32,42,0.6470707070707071
9,4,cpu,7,12,0.4938608305274972,14,24,0.689652076318743
